"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Hợp tác xã Dịch vụ vận tải Long Khánh",2,0,0,0,"17555779"
"Hợp tác xã Dịch vụ vận tải Phương Lâm",2,0,0,0,"16759154"
"Hợp tác xã Dịch vụ vận tải Thống Nhất;Hợp tác xã DVHTVT Xuân Lộc;Hợp tác xã Dịch vụ vận tải thành phố Bà Rịa",2,0,0,0,"17557167"
"Hợp tác xã Dịch vụ vận tải Đoàn Kết",2,0,0,0,"14783751"
"Hợp tác xã GTVT Đồng Tâm",2,0,0,0,"17459419"
"Hợp tác xã Vận tải - Dịch vụ - Du lịch Đồng Nai",2,0,0,0,"16677733"
"Hợp tác xã Vận tải Thanh Bình;Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng",2,0,0,0,"17445022"
"Hợp tác xã Vận tải Thủy bộ Đông Thành;Hợp tác xã Vận tải Đức Hòa;Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng;Hợp tác xã Xe khách liên tỉnh Miền Tây;Hợp tác xã xe DL và VT số 4;Hợp Tác Xã Vận Tải Đức Hòa",2,0,0,0,"17448144"
"Hợp tác xã Vận tải dịch vụ du lịch Đồng Nai",2,0,0,0,"15049780"
"Hợp tác xã Xe khách liên tỉnh Miền Tây;Hợp tác xã xe DL và VT số 4;Hợp Tác Xã Vận Tải Đức Hòa",2,0,0,0,"17445028"
"Hợp tác xã huyện Bến Cát",4,0,0,0,"18876461"
"Hợp tác xã vận tải 19/5",10,0,0,0,"17384717"
"Hợp tác xã vận tải 19/5;Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng",2,0,0,0,"17514913"
"Hợp tác xã vận tải du lịch số 22",2,0,0,0,"17439365"
"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng;Hợp tác xã Vận tải Châu Thành",2,0,0,0,"17459416"
"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng;Hợp tác xã Xe khách liên tỉnh Miền Tây;Hợp tác xã xe DL và VT số 4;Hợp Tác Xã Vận tải Đồng Hiệp HTX Giao thông vận tải Gò Công Tây;Hợp tác xã vận tải thủy bộ Toàn Thắng",2,0,0,0,"17459413"
"Hợp tác xã vận tải số 26",2,0,0,0,"17465140"
"Hợp tác xã vận tải xe buýt Quyết Thắng",2,0,0,0,"17432868"
"Hợp tác xã vận tải xe buýt Quyết Thắng;Công ty Cổ phần Vận tải Thủy bộ Vĩnh Phú",2,0,0,0,"17374910"
"Hợp tác xã vận tải xe buýt và du lịch Quyết Tiến",2,0,0,0,"18877940"
"Hợp tác xã vận tải xe buýt và du lịch Quyết Tiến;Hợp tác xã vận tải 19/5",2,0,0,0,"17379409"
"Hợp tác xã vận tải xe buýt và du lịch Quyết Tiến;Hợp tác xã vận tải du lịch số 22",2,0,0,0,"17438216"
"IIT Delhi",1,0,0,0,"7457580"
"ITC",1,0,0,0,"17591219"
"Ijoda Transport Cooperative",5,0,0,0,"13627847"
"Ilagan Public Utility Transport Cooperative",2,0,0,0,"10660712"
"Immanuel; Vonvon",1,0,0,0,"3429548"
"In-Us Solutions",2,0,0,0,"20589670"
"Inayawan Transport Service Cooperative",1,0,0,0,"3179684"
"Indang Transport Service Cooperative",4,0,0,0,"10086917"
"Integrated Transport Centre",3,0,0,0,"16228387"
"JAC Liner",2,0,0,0,"1966713"
"JAC Liner Inc.",7,0,0,0,"11062406"
"JAIST",1,0,0,0,"3429948"
"JAM Liner",2,0,0,0,"2535058"
"JAM Liner Inc.",3,0,0,0,"10662271"
"JAM Liner Inc.;JAM Transit Inc.",1,0,0,0,"15034712"
"JAM Transit",2,0,0,0,"15019277"
"JAM Transit Inc.",2,0,0,0,"11826697"
"JAM Transit, Inc.",2,0,0,0,"10512139"
"JAPS Transport Inc.",2,0,0,0,"10676562"
"JCTSL",36,0,0,0,"10300811"
"JR",1,0,0,0,"3605128"
"JRバス関東",34,0,0,0,"10187662"
"JRバス関東;関東鉄道",2,0,0,0,"16117524"
"JR四国バス",3,0,0,0,"4141167"
"Jasper Jean Liner, Inc.",2,0,0,0,"10101721"
"Jasper Jean Services",2,0,0,0,"15071495"
"Jeepney",9,0,0,0,"3171851"
"Johore Motor",1,0,0,0,"19754012"
"Joyful Journey Shuttle;Lancaster Estate Homeowners' Association, Inc.",6,0,0,0,"9263603"
"K. S. R. T. C",1,0,0,0,"2852553"
"K.S.R.T.C",1,0,0,0,"2206404"
"KD transprot group",3,0,0,0,"11340273"
"KD 운송그룹",1,0,0,0,"11484080"
"KKU04",4,0,0,0,"4638115"
"KMB",33,0,0,0,"10954243"
"KOPERASI DESA MAJU TRANSPORTASI",2,0,0,0,"17320492"
"KOPERASI HIKMA",4,0,0,0,"17291228"
"KOPERASI PENGANGKUTAN UMUM MEDAN",54,0,0,0,"17280879"
"KPUM UNIT MEDAN RAYA EXPRESS",2,0,0,0,"17320494"
"KR Travel & Tours",13,0,0,0,"18785555"
"KSRTC",144,0,0,0,"12740709"
"KSRTC Changanassery",2,0,0,0,"15822301"
"KSRTC, Private",2,0,0,0,"17823832"
"KSRTC,Private",7,0,0,0,"18074564"
"KSRTC;Private",9,0,0,0,"19602511"
"Kaagapay Multi-Purpose Transport Service Cooperative;PERJODA Transport Cooperative",2,0,0,0,"8077090"
"Kaagapay Multi-Purpose and Transport Service Cooperative",2,0,0,0,"8248479"
"Kaaruba Transport Service Cooperative",2,0,0,0,"15047074"
"Kadamba",2,0,0,0,"19969746"
"Kapit-Bisig Transport Service Cooperative",2,0,0,0,"10018379"
"Kavim",8,0,0,0,"10578013"
"Keelung Bus",1,0,0,0,"20584187"
"Keio Dentetsu Bus Co Ltd",1,0,0,0,"9849950"
"Kellen Transport Inc.",2,0,0,0,"15019286"
"Kembara City",1,0,0,0,"17811221"
"Kerala State Road Transport Coorperation",1,0,0,0,"17005003"
"Kerala State Road Transport Coorporation",4,0,0,0,"17778869"
"Kerala State Road Transport Corporation",6,0,0,0,"17296060"
"Kersteen Joyce Transport;Regal Starliner Transport Service Inc.",2,0,0,0,"8682322"
"Kersteen Joyce Transport;San Agustin Transport Service Corporation;Regal Starliner Transport Service Inc.",1,0,0,0,"8704647"
"Kingsland PalaPala Multi-Purpose and Transport Service Cooperative",1,0,0,0,"17946815"
"Kintetsu Bus Co., Ltd.",1,0,0,0,"3555404"
"Kitti Soontron",4,0,0,0,"16691865"
"Kobanter Baru",10,0,0,0,"16646484"
"Kochi Metro Rail Limited",2,0,0,0,"18713308"
"Kopamas",4,0,0,0,"16644123"
"Kopamas/Lintas Husein",2,0,0,0,"4321908"
"Koperasi Wahana Kalpika",2,0,0,0,"17327946"
"Ksrtc",2,0,0,0,"10510432"
"Ksrtc,Private",3,0,0,0,"16271330"
"Kuala Kedah Transport Company Sdn. Bhd.",1,0,0,0,"16348533"
"L.C.C.",1,0,0,0,"3521367"
"L.C.C. and private vans",1,0,0,0,"8818526"
"LCC",3,0,0,0,"5327862"
"LLC",1,0,0,0,"8818522"
"LLC ""1-avtobus saroyi""",18,0,0,0,"11032225"
"LLC ""12-avtobus saroyi""",6,0,0,0,"20507556"
"LLC ""18-avtobus saroyi""",16,0,0,0,"10996573"
"LLC ""2-avtobus saroyi""",11,0,0,0,"1866150"
